episode,reward,length,moving_avg_100,mean_squared_td_error
159,1.000000,6,0.250000,0.01450492
160,0.000000,4,0.250000,0.00732142
161,1.000000,6,0.260000,0.01376995
162,1.000000,11,0.270000,0.03728331
163,1.000000,9,0.280000,0.06298458
164,0.000000,7,0.280000,0.06422353
165,0.000000,5,0.280000,0.00973124
166,0.000000,6,0.280000,0.02519319
167,0.000000,8,0.280000,0.08762399
168,0.000000,5,0.280000,0.02004843
169,1.000000,11,0.280000,0.09496902
170,0.000000,3,0.280000,0.00529995
171,1.000000,9,0.280000,0.04165999
172,1.000000,6,0.290000,0.00943919
173,1.000000,6,0.300000,0.00911694
174,0.000000,5,0.290000,0.00798370
175,1.000000,6,0.300000,0.07348159
176,1.000000,8,0.310000,0.09777828
177,0.000000,3,0.310000,0.02959224
178,1.000000,7,0.320000,0.02211663
179,0.000000,5,0.320000,0.00816632
180,0.000000,2,0.320000,0.00224253
181,1.000000,10,0.330000,0.06145641
182,1.000000,12,0.330000,0.03869396
183,1.000000,10,0.340000,0.04050463
184,0.000000,2,0.330000,0.00515034
185,1.000000,6,0.340000,0.00686913
186,0.000000,2,0.340000,0.00400777
187,1.000000,6,0.350000,0.05882578
188,0.000000,4,0.350000,0.00568345
189,1.000000,7,0.360000,0.02348675
190,0.000000,4,0.360000,0.03034206
191,1.000000,19,0.360000,0.09168741
192,0.000000,4,0.360000,0.04567246
193,0.000000,7,0.360000,0.04298044
194,0.000000,5,0.360000,0.05814494
195,1.000000,6,0.370000,0.00436731
196,1.000000,10,0.380000,0.09566852
197,1.000000,8,0.390000,0.09479357
198,1.000000,9,0.400000,0.07899637
199,0.000000,2,0.400000,0.00268250
200,0.000000,7,0.400000,0.04429190
201,0.000000,5,0.400000,0.05533165
202,0.000000,3,0.400000,0.00318676
203,1.000000,10,0.410000,0.04810014
204,0.000000,5,0.400000,0.02562594
205,1.000000,6,0.410000,0.04575087
206,1.000000,10,0.420000,0.04166447
207,0.000000,6,0.420000,0.02963918
208,0.000000,9,0.420000,0.05203458
209,0.000000,3,0.420000,0.06224107
210,0.000000,7,0.420000,0.03695483
211,0.000000,3,0.420000,0.00229320
212,1.000000,11,0.430000,0.08287702
213,1.000000,6,0.430000,0.00196878
214,1.000000,11,0.440000,0.05357547
215,1.000000,7,0.450000,0.01859492
216,1.000000,6,0.460000,0.00165088
217,0.000000,5,0.460000,0.03870146
218,1.000000,10,0.470000,0.06512780
219,1.000000,8,0.480000,0.02536663
220,0.000000,4,0.470000,0.00178437
221,1.000000,7,0.470000,0.03078700
222,1.000000,10,0.470000,0.05167735
223,1.000000,7,0.470000,0.02368513
224,0.000000,13,0.470000,0.12909855
225,1.000000,6,0.470000,0.00099712
226,1.000000,12,0.480000,0.08597184
227,0.000000,6,0.480000,0.07293483
228,1.000000,7,0.480000,0.04765589
229,0.000000,7,0.470000,0.03654811
230,1.000000,6,0.480000,0.03302061
231,1.000000,7,0.490000,0.03391382
232,1.000000,8,0.490000,0.04829800
233,0.000000,9,0.480000,0.11722229
234,0.000000,4,0.470000,0.00082585
235,0.000000,2,0.470000,0.00088126
236,0.000000,2,0.470000,0.00071382
237,1.000000,6,0.470000,0.00045214
238,1.000000,7,0.480000,0.01324503
239,1.000000,8,0.490000,0.03551688
240,0.000000,2,0.490000,0.00052956
241,1.000000,6,0.500000,0.00034944
242,1.000000,7,0.500000,0.01576553
243,1.000000,6,0.510000,0.00031435
244,1.000000,6,0.520000,0.00029745
245,1.000000,13,0.530000,0.08156749
246,0.000000,2,0.530000,0.00035970
247,0.000000,4,0.530000,0.04993741
248,1.000000,8,0.540000,0.02049431
249,0.000000,5,0.530000,0.00023181
250,0.000000,4,0.530000,0.00025366
251,1.000000,6,0.540000,0.00016775
252,0.000000,6,0.540000,0.04043057
253,0.000000,3,0.540000,0.00023348
254,0.000000,3,0.530000,0.00020932
255,0.000000,2,0.530000,0.00020629
256,0.000000,3,0.520000,0.00016099
257,1.000000,8,0.530000,0.03513712
258,1.000000,6,0.530000,0.00009511
259,1.000000,6,0.530000,0.00008903
260,1.000000,9,0.540000,0.02783522
261,0.000000,6,0.530000,0.02417884
262,1.000000,6,0.530000,0.00007421
263,1.000000,6,0.530000,0.00006898
264,1.000000,8,0.540000,0.03739123
265,0.000000,4,0.540000,0.06972743
266,1.000000,8,0.550000,0.03570082
267,0.000000,5,0.550000,0.01338646
268,1.000000,6,0.560000,0.00004690
269,0.000000,5,0.550000,0.05582374
270,0.000000,3,0.550000,0.00006229
271,1.000000,6,0.550000,0.00003662
272,1.000000,8,0.550000,0.02510362
273,1.000000,6,0.550000,0.00003177
274,1.000000,8,0.560000,0.05246627
275,1.000000,6,0.560000,0.00002718
276,1.000000,7,0.560000,0.00690223
277,0.000000,3,0.560000,0.07963635
278,0.000000,2,0.550000,0.00003184
279,1.000000,6,0.560000,0.00001906
280,1.000000,6,0.570000,0.00001800
281,0.000000,6,0.560000,0.07853622
282,1.000000,6,0.560000,0.00001545
283,0.000000,5,0.550000,0.05332264
284,0.000000,6,0.550000,0.05744020
285,0.000000,3,0.540000,0.02958176
286,0.000000,2,0.540000,0.00001008
287,0.000000,7,0.530000,0.03275431
288,1.000000,6,0.540000,0.00000885
289,1.000000,6,0.540000,0.00000847
290,0.000000,4,0.540000,0.00001156
291,0.000000,3,0.530000,0.00001149
292,1.000000,12,0.540000,0.05148541
293,1.000000,6,0.550000,0.00000628
294,1.000000,6,0.560000,0.00000597
295,1.000000,6,0.560000,0.00000567
296,1.000000,8,0.560000,0.02323803
297,0.000000,3,0.550000,0.00000811
298,1.000000,6,0.550000,0.00000470
299,0.000000,4,0.550000,0.00000645
300,1.000000,6,0.560000,0.00000412
301,1.000000,8,0.570000,0.01336639
302,1.000000,8,0.580000,0.03515309
303,1.000000,9,0.580000,0.09599609
304,1.000000,10,0.590000,0.03043715
305,1.000000,6,0.590000,0.00000304
306,1.000000,6,0.590000,0.00000278
307,1.000000,6,0.600000,0.00000255
308,1.000000,10,0.610000,0.05367322
309,1.000000,7,0.620000,0.00557854
310,1.000000,8,0.630000,0.01676522
311,1.000000,9,0.640000,0.01490076
312,0.000000,4,0.630000,0.00000263
313,1.000000,7,0.630000,0.00729224
314,1.000000,6,0.630000,0.00000144
315,1.000000,7,0.630000,0.00593639
316,0.000000,6,0.620000,0.04297889
317,1.000000,8,0.630000,0.02440138
318,1.000000,8,0.630000,0.01892991
319,1.000000,8,0.630000,0.03134832
320,0.000000,3,0.630000,0.15061099
321,1.000000,6,0.630000,0.00000068
322,0.000000,5,0.620000,0.00948235
323,1.000000,6,0.620000,0.00000057
324,1.000000,6,0.630000,0.00000051
325,0.000000,10,0.620000,0.03936924
326,0.000000,4,0.610000,0.00000051
327,1.000000,7,0.620000,0.02320577
328,1.000000,9,0.620000,0.00965022
329,1.000000,6,0.630000,0.00000026
330,1.000000,6,0.630000,0.00000023
331,1.000000,8,0.630000,0.00391394
332,1.000000,8,0.630000,0.00317332
333,1.000000,6,0.640000,0.00000018
334,1.000000,8,0.650000,0.01981759
335,1.000000,7,0.660000,0.00497447
336,0.000000,5,0.660000,0.00000014
337,0.000000,5,0.650000,0.00000013
338,1.000000,6,0.650000,0.00000009
339,1.000000,6,0.650000,0.00000008
340,1.000000,9,0.660000,0.01473266
341,1.000000,8,0.660000,0.01360874
342,1.000000,7,0.660000,0.00405458
343,1.000000,9,0.660000,0.03677163
344,0.000000,5,0.650000,0.00000005
345,1.000000,9,0.650000,0.01258024
346,1.000000,8,0.660000,0.01606609
347,0.000000,4,0.660000,0.00000004
348,0.000000,5,0.650000,0.00000003
349,1.000000,6,0.660000,0.00000002
350,0.000000,3,0.660000,0.00000004
351,1.000000,6,0.660000,0.00000002
352,1.000000,6,0.670000,0.00000002
353,1.000000,6,0.680000,0.00000001
354,0.000000,5,0.680000,0.01965119
355,1.000000,6,0.690000,0.00000001
356,0.000000,2,0.690000,0.00000002
357,0.000000,4,0.680000,0.02053681
358,0.000000,2,0.670000,0.00000001
359,0.000000,3,0.660000,0.00000001
360,1.000000,8,0.660000,0.02171718
361,1.000000,6,0.670000,0.00000000
362,0.000000,4,0.660000,0.00419616
363,1.000000,6,0.660000,0.00000000
364,1.000000,6,0.660000,0.00000000
365,1.000000,6,0.670000,0.00000000
366,1.000000,6,0.670000,0.00000000
367,1.000000,6,0.680000,0.00000000
368,1.000000,6,0.680000,0.00000000
369,1.000000,6,0.690000,0.00000000
370,1.000000,6,0.700000,0.00000000
371,1.000000,8,0.700000,0.03637974
372,1.000000,8,0.700000,0.01884314
373,1.000000,6,0.700000,0.00000000
374,1.000000,6,0.700000,0.00000000
375,1.000000,6,0.700000,0.00000000
376,1.000000,6,0.700000,0.00000000
377,0.000000,4,0.700000,0.00000000
378,1.000000,6,0.710000,0.00000000
379,1.000000,6,0.710000,0.00000000
380,1.000000,6,0.710000,0.02360883
381,1.000000,6,0.720000,0.00000000
382,1.000000,6,0.720000,0.00000000
383,0.000000,3,0.720000,0.00000000
384,1.000000,6,0.730000,0.00000000
385,1.000000,6,0.740000,0.02057204
386,1.000000,6,0.750000,0.00000000
387,1.000000,7,0.760000,0.02404894
388,1.000000,6,0.760000,0.00000000
389,1.000000,9,0.760000,0.02252234
390,1.000000,8,0.770000,0.00170201
391,1.000000,9,0.780000,0.02394743
392,1.000000,6,0.780000,0.00000000
393,1.000000,6,0.780000,0.00000000
394,0.000000,3,0.770000,0.00000000
395,1.000000,6,0.770000,0.00000000
396,0.000000,2,0.760000,0.00000000
397,0.000000,3,0.760000,0.00000000
398,1.000000,7,0.760000,0.00217893
399,0.000000,2,0.760000,0.00000000
400,1.000000,6,0.760000,0.00000000
401,1.000000,6,0.760000,0.00000000
402,1.000000,8,0.760000,0.03281718
403,0.000000,5,0.750000,0.00000000
404,1.000000,6,0.750000,0.00000000
405,1.000000,6,0.750000,0.00000000
406,1.000000,8,0.750000,0.02690130
407,0.000000,5,0.740000,0.00000000
408,1.000000,9,0.740000,0.03155489
409,1.000000,12,0.740000,0.05411042
410,0.000000,2,0.730000,0.00000000
411,1.000000,6,0.730000,0.00000000
412,1.000000,6,0.740000,0.00000000
413,1.000000,6,0.740000,0.00000000
414,0.000000,5,0.730000,0.00000000
415,1.000000,7,0.730000,0.00560955
416,1.000000,6,0.740000,0.00000000
417,1.000000,7,0.740000,0.00365915
418,1.000000,7,0.740000,0.00176554
419,1.000000,6,0.740000,0.00000000
420,1.000000,8,0.750000,0.01872864
421,0.000000,3,0.740000,0.00000000
422,1.000000,6,0.750000,0.00000000
423,1.000000,6,0.750000,0.00000000
424,1.000000,6,0.750000,0.00000000
425,1.000000,10,0.760000,0.01885454
426,1.000000,6,0.770000,0.00000000
427,0.000000,3,0.760000,0.00000000
428,1.000000,11,0.760000,0.08082189
429,1.000000,6,0.760000,0.00000000
430,1.000000,7,0.760000,0.00572278
431,1.000000,6,0.760000,0.00000000
432,0.000000,2,0.750000,0.00000000
433,1.000000,8,0.750000,0.01341179
434,1.000000,6,0.750000,0.00000000
435,1.000000,7,0.750000,0.00296391
436,1.000000,6,0.760000,0.00000000
437,1.000000,6,0.770000,0.00000000
438,1.000000,7,0.770000,0.00240077
439,1.000000,6,0.770000,0.00000000
440,1.000000,6,0.770000,0.00000000
441,1.000000,6,0.770000,0.00000000
442,0.000000,7,0.760000,0.01412920
443,1.000000,6,0.760000,0.00000000
444,1.000000,6,0.770000,0.00000000
445,1.000000,6,0.770000,0.00000000
446,1.000000,6,0.770000,0.00000000
447,1.000000,6,0.780000,0.00000000
448,1.000000,8,0.790000,0.01001407
449,0.000000,3,0.780000,0.00000000
450,1.000000,7,0.790000,0.00194462
451,1.000000,8,0.790000,0.00811140
452,0.000000,4,0.780000,0.00000000
453,1.000000,7,0.780000,0.00143029
454,1.000000,8,0.790000,0.00137906
455,1.000000,6,0.790000,0.00000000
456,1.000000,9,0.800000,0.00311854
457,1.000000,8,0.810000,0.02681592
458,0.000000,3,0.810000,0.00000000
459,1.000000,6,0.820000,0.00000000
460,1.000000,7,0.820000,0.00454380
461,1.000000,6,0.820000,0.00000000
462,1.000000,7,0.830000,0.00093842
463,1.000000,6,0.830000,0.00000000
464,1.000000,6,0.830000,0.00000000
465,1.000000,6,0.830000,0.00000000
466,1.000000,6,0.830000,0.00000000
467,1.000000,6,0.830000,0.00000000
468,1.000000,7,0.830000,0.00076012
469,1.000000,8,0.830000,0.00833719
470,1.000000,6,0.830000,0.00000000
471,1.000000,6,0.830000,0.00000000
472,0.000000,8,0.820000,0.02282972
473,1.000000,6,0.820000,0.00000000
474,0.000000,5,0.810000,0.00000000
475,1.000000,6,0.810000,0.00000000
476,1.000000,9,0.810000,0.00391337
477,0.000000,4,0.810000,0.00532252
478,1.000000,6,0.810000,0.00000000
479,1.000000,6,0.810000,0.00000000
480,1.000000,7,0.810000,0.01240387
481,1.000000,6,0.810000,0.00000000
482,1.000000,6,0.810000,0.00000000
483,1.000000,7,0.820000,0.00246357
484,1.000000,6,0.820000,0.00000000
485,1.000000,6,0.820000,0.00000000
486,1.000000,10,0.820000,0.00979130
487,1.000000,6,0.820000,0.00000000
488,1.000000,6,0.820000,0.00000000
489,0.000000,3,0.810000,0.00000000
490,1.000000,7,0.810000,0.00368048
491,1.000000,6,0.810000,0.00000000
492,1.000000,6,0.810000,0.00000000
493,1.000000,8,0.810000,0.00657023
494,1.000000,6,0.820000,0.00000000
495,1.000000,6,0.820000,0.00000000
496,0.000000,2,0.820000,0.00000000
497,0.000000,4,0.820000,0.00000000
498,1.000000,6,0.820000,0.00000000
499,1.000000,6,0.830000,0.00000000
500,1.000000,9,0.830000,0.00145525
501,1.000000,8,0.830000,0.00059364
502,1.000000,6,0.830000,0.00000000
503,1.000000,6,0.840000,0.00000000
504,1.000000,6,0.840000,0.00000000
505,1.000000,8,0.840000,0.00532189
506,1.000000,6,0.840000,0.00000000
507,1.000000,6,0.850000,0.00000000
508,1.000000,6,0.850000,0.00000000
509,1.000000,6,0.850000,0.00000000
510,1.000000,6,0.860000,0.00000000
511,1.000000,6,0.860000,0.00000000
512,0.000000,2,0.850000,0.03866320
513,1.000000,6,0.850000,0.00000000
514,1.000000,6,0.860000,0.00000000
515,1.000000,6,0.860000,0.00000000
516,1.000000,6,0.860000,0.00000000
517,1.000000,6,0.860000,0.00000000
518,1.000000,6,0.860000,0.00000000
519,1.000000,6,0.860000,0.00000000
520,1.000000,8,0.860000,0.00431073
521,1.000000,6,0.870000,0.00000000
522,1.000000,6,0.870000,0.00000000
523,1.000000,8,0.870000,0.01512981
524,0.000000,4,0.860000,0.00000000
525,1.000000,6,0.860000,0.00000000
526,1.000000,6,0.860000,0.00000000
527,1.000000,6,0.870000,0.00000000
528,1.000000,6,0.870000,0.00000000
529,1.000000,7,0.870000,0.00083710
530,1.000000,9,0.870000,0.02205744
531,1.000000,6,0.870000,0.00000000
532,1.000000,6,0.880000,0.00000000
533,1.000000,7,0.880000,0.01004713
534,1.000000,6,0.880000,0.00000000
535,1.000000,6,0.880000,0.00000000
536,1.000000,7,0.880000,0.00298119
537,1.000000,6,0.880000,0.00000000
538,1.000000,11,0.880000,0.01725458
539,1.000000,6,0.880000,0.01648994
540,1.000000,6,0.880000,0.00000000
541,1.000000,6,0.880000,0.00000000
542,1.000000,6,0.890000,0.00000000
543,1.000000,6,0.890000,0.00000000
544,1.000000,6,0.890000,0.00000000
545,1.000000,6,0.890000,0.00000000
546,1.000000,6,0.890000,0.00000000
547,1.000000,6,0.890000,0.00000000
548,1.000000,6,0.890000,0.00000000
549,1.000000,6,0.900000,0.00000000
550,1.000000,6,0.900000,0.00000000
551,1.000000,6,0.900000,0.00000000
552,1.000000,6,0.910000,0.00000000
553,1.000000,6,0.910000,0.00000000
554,1.000000,6,0.910000,0.00000000
555,0.000000,4,0.900000,0.00000000
556,0.000000,4,0.890000,0.00000000
557,1.000000,6,0.890000,0.00000000
558,1.000000,6,0.900000,0.00000000
559,1.000000,6,0.900000,0.00000000
560,1.000000,8,0.900000,0.01234103
561,1.000000,6,0.900000,0.00000000
562,1.000000,7,0.900000,0.00061570
563,1.000000,6,0.900000,0.00000000
564,1.000000,6,0.900000,0.00000000
565,1.000000,7,0.900000,0.00044487
566,1.000000,6,0.900000,0.00000000
567,1.000000,6,0.900000,0.00000000
568,1.000000,8,0.900000,0.00923382
569,1.000000,8,0.900000,0.00048085
570,1.000000,6,0.900000,0.00000000
571,1.000000,6,0.900000,0.00000000
572,1.000000,6,0.910000,0.00000000
573,1.000000,6,0.910000,0.00000000
574,1.000000,6,0.920000,0.00000000
575,1.000000,6,0.920000,0.00000000
576,1.000000,6,0.920000,0.00000000
577,1.000000,7,0.930000,0.00049872
578,1.000000,6,0.930000,0.00000000
579,1.000000,6,0.930000,0.00000000
580,1.000000,6,0.930000,0.00000000
581,1.000000,6,0.930000,0.00000000
582,1.000000,6,0.930000,0.00000000
583,1.000000,6,0.930000,0.00000000
584,1.000000,6,0.930000,0.00000000
585,1.000000,6,0.930000,0.00000000
586,1.000000,6,0.930000,0.00000000
587,0.000000,2,0.920000,0.00000000
588,1.000000,6,0.920000,0.00000000
589,1.000000,6,0.930000,0.00000000
590,1.000000,8,0.930000,0.00831721
591,1.000000,6,0.930000,0.00000000
592,1.000000,6,0.930000,0.00000000
593,1.000000,6,0.930000,0.00000000
594,1.000000,6,0.930000,0.00000000
595,1.000000,6,0.930000,0.00000000
596,1.000000,6,0.940000,0.00000000
597,1.000000,6,0.950000,0.00000000
598,1.000000,6,0.950000,0.00000000
599,1.000000,6,0.950000,0.00000000
600,1.000000,6,0.950000,0.00000000
601,1.000000,6,0.950000,0.00000000
602,1.000000,6,0.950000,0.00000000
603,1.000000,6,0.950000,0.00000000
604,1.000000,6,0.950000,0.00000000
605,1.000000,6,0.950000,0.00000000
606,1.000000,6,0.950000,0.00000000
607,1.000000,6,0.950000,0.00000000
608,1.000000,6,0.950000,0.00000000
609,1.000000,6,0.950000,0.00000000
610,1.000000,8,0.950000,0.00698124
611,1.000000,8,0.950000,0.00723414
612,1.000000,7,0.960000,0.00199549
613,1.000000,6,0.960000,0.00000000
614,1.000000,6,0.960000,0.00000000
615,1.000000,7,0.960000,0.00659192
616,1.000000,6,0.960000,0.00000000
617,1.000000,6,0.960000,0.00000000
618,1.000000,6,0.960000,0.00000000
619,1.000000,6,0.960000,0.00000000
620,1.000000,6,0.960000,0.00000000
621,1.000000,6,0.960000,0.00000000
622,1.000000,6,0.960000,0.00000000
623,1.000000,6,0.960000,0.00000000
624,1.000000,8,0.970000,0.00675314
625,1.000000,6,0.970000,0.01446717
626,1.000000,6,0.970000,0.00000000
627,1.000000,6,0.970000,0.00000000
628,1.000000,6,0.970000,0.00000000
629,0.000000,5,0.960000,0.00000000
630,1.000000,6,0.960000,0.00000000
631,1.000000,6,0.960000,0.00000000
632,1.000000,6,0.960000,0.00000000
633,1.000000,7,0.960000,0.00040396
634,1.000000,6,0.960000,0.00000000
635,1.000000,6,0.960000,0.00000000
636,1.000000,6,0.960000,0.00000000
637,1.000000,8,0.960000,0.00585965
638,1.000000,6,0.960000,0.00000000
639,1.000000,7,0.960000,0.00161635
640,1.000000,6,0.960000,0.00000000
641,1.000000,6,0.960000,0.00000000
642,0.000000,4,0.950000,0.00000000
643,1.000000,7,0.950000,0.00130924
644,1.000000,6,0.950000,0.00000000
645,1.000000,6,0.950000,0.00000000
646,1.000000,6,0.950000,0.00000000
647,1.000000,6,0.950000,0.00000000
648,1.000000,6,0.950000,0.00000000
649,1.000000,6,0.950000,0.00000000
650,1.000000,6,0.950000,0.00000000
651,1.000000,6,0.950000,0.00000000
652,1.000000,6,0.950000,0.00000000
653,1.000000,6,0.950000,0.00000000
654,1.000000,6,0.950000,0.00000000
655,1.000000,6,0.960000,0.00000000
656,1.000000,9,0.970000,0.00568708
657,1.000000,8,0.970000,0.02183912
658,1.000000,6,0.970000,0.00000000
659,0.000000,2,0.960000,0.00000000
660,1.000000,6,0.960000,0.00000000
661,0.000000,3,0.950000,0.00000000
662,1.000000,6,0.950000,0.00000000
663,1.000000,7,0.950000,0.00195596
664,1.000000,6,0.950000,0.00000000
665,1.000000,8,0.950000,0.01964531
666,1.000000,6,0.950000,0.00000000
667,1.000000,6,0.950000,0.00000000
668,1.000000,6,0.950000,0.00000000
669,1.000000,7,0.950000,0.00036034
670,1.000000,6,0.950000,0.00000000
671,1.000000,6,0.950000,0.00000000
672,1.000000,6,0.950000,0.00000000
673,1.000000,6,0.950000,0.00000000
674,1.000000,6,0.950000,0.00000000
675,1.000000,6,0.950000,0.00000000
676,0.000000,3,0.940000,0.00000000
677,1.000000,6,0.940000,0.00000000
678,1.000000,8,0.940000,0.00601232
679,1.000000,6,0.940000,0.01226605
680,1.000000,6,0.940000,0.00000000
681,1.000000,7,0.940000,0.00085899
682,1.000000,6,0.940000,0.00000000
683,1.000000,6,0.940000,0.00000000
684,1.000000,6,0.940000,0.00000000
685,1.000000,6,0.940000,0.00000000
686,1.000000,6,0.940000,0.00000000
687,1.000000,6,0.950000,0.00000000
688,1.000000,6,0.950000,0.00000000
689,1.000000,6,0.950000,0.00000000
690,1.000000,6,0.950000,0.00000000
691,1.000000,6,0.950000,0.00000000
692,1.000000,6,0.950000,0.00000000
693,0.000000,4,0.940000,0.00934405
694,1.000000,6,0.940000,0.00000000
695,1.000000,6,0.940000,0.00000000
696,1.000000,6,0.940000,0.00000000
697,1.000000,6,0.940000,0.00000000
